"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",0,0,401,153,0,-1,0,0,0,0
"Ice Harbor",0,0,201,102,0,0,0,0,0,0
"John Day",1,5,164,75,0,0,1,0,-1,0
"Lower Monumental",0,0,418,164,0,0,0,0,0,0
"McNary",6,0,133,43,0,0,0,0,0,0
"Priest Rapids",0,0,0,0,0,0,0,0,0,0
"Prosser",0,0,269,248,0,0,0,0,0,0
"Roza",0,0,2,2,0,7,0,0,0,0
"Rock Island",0,0,0,0,0,0,0,0,0,0
"Rocky Reach",0,0,0,0,0,0,0,0,0,0
"The Dalles",4,0,7,2,0,0,0,0,0,0
"Tumwater",0,0,2,0,0,0,0,0,0,0
"Wanapum",0,0,0,0,0,0,0,0,0,0
"Wells",0,0,0,0,0,0,0,0,0,0
"Willamette Falls",0,0,726,0,0,0,0,0,0,0
