"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",766920,134158,331989,110874,315666,119602,7343,2045668,24327,0
"Ice Harbor",126977,33554,172874,44412,958,4163,380,145569,416,0
"John Day",437689,100067,252875,83092,260634,41577,4164,0,5770,0
"Little Goose",119442,34040,160555,40576,1056,4244,757,0,83,0
"Lower Granite",115211,38188,165855,43906,1117,4412,425,16968,48,0
"Lower Monumental",123854,36173,178804,48477,1119,4602,645,0,141,0
"McNary",404543,74320,224284,68387,226533,28782,3483,745984,1502,0
"Priest Rapids",149996,13357,19206,0,266896,10517,831,6387,5195,0
"Prosser",12210,2432,4377,4077,753,5819,408,0,7,0
"Roza",5432,1630,307,254,758,555,7,0,0,0
"Rock Island",95002,13025,17187,7133,259217,14427,743,0,1557,59
"Rocky Reach",69856,8580,13631,5343,218305,4161,218,0,1419,138
"The Dalles",527622,112325,271648,89080,269257,48709,4382,828067,7033,0
"Tumwater",6999,1341,1407,0,39913,747,0,0,0,0
"Wanapum",95373,8651,16122,0,212317,5913,395,320,3184,0
"Wells",50906,7105,10643,4307,207589,2687,20,0,0,68
"Willamette Falls",36292,1997,23042,0,0,10493,2695,0,0,0
